id,device_id,acquisition_date,latitude,longitude,gps_precision,pm25,pm10,humidity,temperature,no2,co2,nh3,co,created_at,updated_at,sensor1,sensor2,sensor3,sensor4,sensor5,timestamp
16921370,152,2022-04-11 12:37:34,41.827777000000005,12.674863,1,1.8,4.1,16.1,25.9,0.22,277.2,0.02,1.96,2022-04-11 14:37:35,2022-04-11 14:37:35,10.0,10.0,10.0,"CO=1.96485879294ppm ,NH3=0.0222421673008ppm ,NO2=0.220285996442ppm ,CO2=277.197610678ppmVOLT: CO=4.0576171875V ,NH3=1.8798828125V ,NO2=3.6962890625V ,CO2=1.787109375V",add info,1649673454
16921389,152,2022-04-11 12:38:38,41.828093,12.675052,1,1.5,3.2,17.7,25.9,0.22,277.2,0.02,1.96,2022-04-11 14:38:39,2022-04-11 14:38:39,10.0,10.0,10.0,"CO=1.96485879294ppm ,NH3=0.0212635357091ppm ,NO2=0.220285996442ppm ,CO2=277.197610678ppmVOLT: CO=4.0576171875V ,NH3=1.9091796875V ,NO2=3.6962890625V ,CO2=1.787109375V",add info,1649673518
16921409,152,2022-04-11 12:39:42,41.827734,12.676281,1,1.6,4.5,17.0,26.0,0.22,292.11,0.02,1.96,2022-04-11 14:39:44,2022-04-11 14:39:44,10.0,10.0,10.0,"CO=1.96485879294ppm ,NH3=0.020485115566ppm ,NO2=0.220285996442ppm ,CO2=292.10730126ppmVOLT: CO=4.0576171875V ,NH3=1.93359375V ,NO2=3.6962890625V ,CO2=1.7822265625V",add info,1649673582
16921429,152,2022-04-11 12:40:47,41.827771999999996,12.674788000000001,1,1.4,3.5,17.2,26.0,0.22,292.11,0.02,1.96,2022-04-11 14:40:48,2022-04-11 14:40:48,10.0,10.0,10.0,"CO=1.96485879294ppm ,NH3=0.0193053767677ppm ,NO2=0.220285996442ppm ,CO2=292.10730126ppmVOLT: CO=4.0576171875V ,NH3=1.97265625V ,NO2=3.6962890625V ,CO2=1.7822265625V",add info,1649673647
16921446,152,2022-04-11 12:41:52,41.827861999999996,12.674544000000001,1,1.5,3.9,17.3,26.0,0.22,263.05,0.02,1.96,2022-04-11 14:41:53,2022-04-11 14:41:53,10.0,10.0,10.0,"CO=1.96485879294ppm ,NH3=0.0188827277183ppm ,NO2=0.221388034763ppm ,CO2=263.048937956ppmVOLT: CO=4.0576171875V ,NH3=1.9873046875V ,NO2=3.701171875V ,CO2=1.7919921875V",add info,1649673712
16921464,152,2022-04-11 12:42:56,41.827754,12.674334,1,1.5,3.7,17.0,26.0,0.22,292.11,0.02,1.95,2022-04-11 14:42:58,2022-04-11 14:42:58,10.0,10.0,10.0,"CO=1.94969416478ppm ,NH3=0.0175464409946ppm ,NO2=0.222498298983ppm ,CO2=292.10730126ppmVOLT: CO=4.0625V ,NH3=2.0361328125V ,NO2=3.7060546875V ,CO2=1.7822265625V",add info,1649673776
16921483,152,2022-04-11 12:44:01,41.827754,12.674334,0,1.7,4.4,17.1,25.7,0.22,155.78,0.02,1.95,2022-04-11 14:44:02,2022-04-11 14:44:02,10.0,10.0,10.0,"CO=1.94969416478ppm ,NH3=0.0165524212315ppm ,NO2=0.222498298983ppm ,CO2=155.778405569ppmVOLT: CO=4.0625V ,NH3=2.0751953125V ,NO2=3.7060546875V ,CO2=1.8408203125V",add info,1649673841
16921502,152,2022-04-11 12:45:05,41.827754,12.674334,0,1.7,4.6,15.2,25.6,0.22,263.05,0.02,1.95,2022-04-11 14:45:06,2022-04-11 14:45:06,10.0,10.0,10.0,"CO=1.94969416478ppm ,NH3=0.0157330801446ppm ,NO2=0.223616882014ppm ,CO2=263.048937956ppmVOLT: CO=4.0625V ,NH3=2.109375V ,NO2=3.7109375V ,CO2=1.7919921875V",add info,1649673905
16921522,152,2022-04-11 12:46:09,41.827754,12.674334,0,1.7,5.8,15.8,25.6,0.22,263.05,0.02,1.95,2022-04-11 14:46:11,2022-04-11 14:46:11,10.0,10.0,10.0,"CO=1.94969416478ppm ,NH3=0.0153955335701ppm ,NO2=0.224743878176ppm ,CO2=263.048937956ppmVOLT: CO=4.0625V ,NH3=2.1240234375V ,NO2=3.7158203125V ,CO2=1.7919921875V",add info,1649673969
16921542,152,2022-04-11 12:47:14,41.827754,12.674334,0,1.7,6.2,15.6,25.4,0.23,277.2,0.02,1.95,2022-04-11 14:47:16,2022-04-11 14:47:16,10.0,10.0,10.0,"CO=1.94969416478ppm ,NH3=0.0153955335701ppm ,NO2=0.225879383221ppm ,CO2=277.197610678ppmVOLT: CO=4.0625V ,NH3=2.1240234375V ,NO2=3.720703125V ,CO2=1.787109375V",add info,1649674034
16921559,152,2022-04-11 12:48:19,41.827754,12.674334,0,1.5,5.0,14.6,25.3,0.23,249.62,0.01,1.95,2022-04-11 14:48:20,2022-04-11 14:48:20,10.0,10.0,10.0,"CO=1.94969416478ppm ,NH3=0.0146380021128ppm ,NO2=0.227023494362ppm ,CO2=249.622439351ppmVOLT: CO=4.0625V ,NH3=2.158203125V ,NO2=3.7255859375V ,CO2=1.796875V",add info,1649674099
16921579,152,2022-04-11 12:49:23,41.827754,12.674334,0,1.6,3.4,14.9,25.3,0.23,249.62,0.01,1.95,2022-04-11 14:49:24,2022-04-11 14:49:24,10.0,10.0,10.0,"CO=1.94969416478ppm ,NH3=0.0146380021128ppm ,NO2=0.228176310301ppm ,CO2=249.622439351ppmVOLT: CO=4.0625V ,NH3=2.158203125V ,NO2=3.73046875V ,CO2=1.796875V",add info,1649674163
16921598,152,2022-04-11 12:50:27,41.827754,12.674334,0,1.3,4.3,15.9,25.2,0.23,249.62,0.02,1.95,2022-04-11 14:50:28,2022-04-11 14:50:28,10.0,10.0,10.0,"CO=1.94969416478ppm ,NH3=0.0150658175705ppm ,NO2=0.228176310301ppm ,CO2=249.622439351ppmVOLT: CO=4.0625V ,NH3=2.138671875V ,NO2=3.73046875V ,CO2=1.796875V",add info,1649674227
16921618,152,2022-04-11 12:51:31,41.827754,12.674334,0,1.6,4.2,,,0.23,249.62,0.02,1.95,2022-04-11 14:51:32,2022-04-11 14:51:32,10.0,10.0,10.0,"CO=1.94969416478ppm ,NH3=0.0152847690725ppm ,NO2=0.229337931258ppm ,CO2=249.622439351ppmVOLT: CO=4.0625V ,NH3=2.12890625V ,NO2=3.7353515625V ,CO2=1.796875V",add info,1649674291
16921638,152,2022-04-11 12:52:36,41.827754,12.674334,0,1.6,5.2,16.3,25.2,0.23,249.62,0.02,1.95,2022-04-11 14:52:37,2022-04-11 14:52:37,10.0,10.0,10.0,"CO=1.94969416478ppm ,NH3=0.0149576145426ppm ,NO2=0.229337931258ppm ,CO2=249.622439351ppmVOLT: CO=4.0625V ,NH3=2.1435546875V ,NO2=3.7353515625V ,CO2=1.796875V",add info,1649674356
16921656,152,2022-04-11 12:53:40,41.827754,12.674334,0,1.3,4.8,15.4,25.2,0.23,249.62,0.01,1.95,2022-04-11 14:53:41,2022-04-11 14:53:41,10.0,10.0,10.0,"CO=1.94969416478ppm ,NH3=0.0143257239128ppm ,NO2=0.229337931258ppm ,CO2=249.622439351ppmVOLT: CO=4.0625V ,NH3=2.1728515625V ,NO2=3.7353515625V ,CO2=1.796875V",add info,1649674420
16921676,152,2022-04-11 12:54:44,41.827754,12.674334,0,1.7,5.8,14.0,25.1,0.23,263.05,0.01,1.95,2022-04-11 14:54:45,2022-04-11 14:54:45,10.0,10.0,10.0,"CO=1.94969416478ppm ,NH3=0.0138210158612ppm ,NO2=0.230508459ppm ,CO2=263.048937956ppmVOLT: CO=4.0625V ,NH3=2.197265625V ,NO2=3.740234375V ,CO2=1.7919921875V",add info,1649674484
16921695,152,2022-04-11 12:55:49,41.827754,12.674334,0,1.3,3.9,15.8,25.1,0.23,249.62,0.01,1.95,2022-04-11 14:55:50,2022-04-11 14:55:50,10.0,10.0,10.0,"CO=1.94969416478ppm ,NH3=0.0137223732063ppm ,NO2=0.231687996871ppm ,CO2=249.622439351ppmVOLT: CO=4.0625V ,NH3=2.2021484375V ,NO2=3.7451171875V ,CO2=1.796875V",add info,1649674549
16921718,152,2022-04-11 12:56:53,41.827754,12.674334,0,1.5,5.6,15.7,24.9,0.23,263.05,0.01,1.95,2022-04-11 14:56:54,2022-04-11 14:56:54,10.0,10.0,10.0,"CO=1.94969416478ppm ,NH3=0.0125058738635ppm ,NO2=0.232876649822ppm ,CO2=263.048937956ppmVOLT: CO=4.0625V ,NH3=2.265625V ,NO2=3.75V ,CO2=1.7919921875V",add info,1649674613
16921737,152,2022-04-11 12:57:56,41.827754,12.674334,0,1.1,3.9,14.1,24.9,0.23,263.05,0.01,1.95,2022-04-11 14:57:58,2022-04-11 14:57:58,10.0,10.0,10.0,"CO=1.94969416478ppm ,NH3=0.0134309186327ppm ,NO2=0.234074524443ppm ,CO2=263.048937956ppmVOLT: CO=4.0625V ,NH3=2.216796875V ,NO2=3.7548828125V ,CO2=1.7919921875V",add info,1649674676
16921756,152,2022-04-11 12:59:03,41.827754,12.674334,0,1.3,3.2,14.8,24.8,0.23,249.62,0.01,1.93,2022-04-11 14:59:04,2022-04-11 14:59:04,10.0,10.0,10.0,"CO=1.93458640247ppm ,NH3=0.0134309186327ppm ,NO2=0.234074524443ppm ,CO2=249.622439351ppmVOLT: CO=4.0673828125V ,NH3=2.216796875V ,NO2=3.7548828125V ,CO2=1.796875V",add info,1649674743
16921775,152,2022-04-11 13:00:07,41.827754,12.674334,0,1.2,5.0,14.3,24.7,0.24,263.05,0.01,1.93,2022-04-11 15:00:08,2022-04-11 15:00:08,10.0,10.0,10.0,"CO=1.93458640247ppm ,NH3=0.0132402763195ppm ,NO2=0.235281728996ppm ,CO2=263.048937956ppmVOLT: CO=4.0673828125V ,NH3=2.2265625V ,NO2=3.759765625V ,CO2=1.7919921875V",add info,1649674807
16921794,152,2022-04-11 13:01:10,41.827754,12.674334,0,1.3,3.5,14.5,24.7,0.23,277.2,0.03,2.1,2022-04-11 15:01:11,2022-04-11 15:01:11,10.0,10.0,10.0,"CO=2.10392891171ppm ,NH3=0.0325095151372ppm ,NO2=0.231687996871ppm ,CO2=277.197610678ppmVOLT: CO=4.013671875V ,NH3=1.640625V ,NO2=3.7451171875V ,CO2=1.787109375V",add info,1649674870
16921814,152,2022-04-11 13:02:16,41.827754,12.674334,0,1.4,3.3,15.5,24.7,0.23,277.2,0.03,2.07,2022-04-11 15:02:17,2022-04-11 15:02:17,10.0,10.0,10.0,"CO=2.07261839436ppm ,NH3=0.0295568781447ppm ,NO2=0.232876649822ppm ,CO2=277.197610678ppmVOLT: CO=4.0234375V ,NH3=1.69921875V ,NO2=3.75V ,CO2=1.787109375V",add info,1649674936
16921833,152,2022-04-11 13:03:20,41.827754,12.674334,0,1.3,5.1,14.0,24.7,0.23,263.05,0.03,2.06,2022-04-11 15:03:21,2022-04-11 15:03:21,10.0,10.0,10.0,"CO=2.05705069885ppm ,NH3=0.030026236196ppm ,NO2=0.234074524443ppm ,CO2=263.048937956ppmVOLT: CO=4.0283203125V ,NH3=1.689453125V ,NO2=3.7548828125V ,CO2=1.7919921875V",add info,1649675000
16921854,152,2022-04-11 13:04:24,41.827754,12.674334,0,1.1,3.5,14.9,24.6,0.23,263.05,0.03,2.03,2022-04-11 15:04:25,2022-04-11 15:04:25,10.0,10.0,10.0,"CO=2.02608950514ppm ,NH3=0.0258961266263ppm ,NO2=0.234074524443ppm ,CO2=263.048937956ppmVOLT: CO=4.0380859375V ,NH3=1.7822265625V ,NO2=3.7548828125V ,CO2=1.7919921875V",add info,1649675064
16921871,152,2022-04-11 13:05:28,41.827754,12.674334,0,1.3,3.0,16.6,24.6,0.23,263.05,0.03,2.01,2022-04-11 15:05:30,2022-04-11 15:05:30,10.0,10.0,10.0,"CO=2.01069563955ppm ,NH3=0.0262981740597ppm ,NO2=0.234074524443ppm ,CO2=263.048937956ppmVOLT: CO=4.04296875V ,NH3=1.7724609375V ,NO2=3.7548828125V ,CO2=1.7919921875V",add info,1649675128
16921890,152,2022-04-11 13:06:32,41.827754,12.674334,0,1.2,4.7,17.0,24.7,0.23,263.05,0.02,2.01,2022-04-11 15:06:34,2022-04-11 15:06:34,10.0,10.0,10.0,"CO=2.01069563955ppm ,NH3=0.0238078148394ppm ,NO2=0.234074524443ppm ,CO2=263.048937956ppmVOLT: CO=4.04296875V ,NH3=1.8359375V ,NO2=3.7548828125V ,CO2=1.7919921875V",add info,1649675192
16921910,152,2022-04-11 13:07:36,41.827754,12.674334,0,1.2,2.7,18.6,24.8,0.23,277.2,0.02,2.0,2022-04-11 15:07:38,2022-04-11 15:07:38,10.0,10.0,10.0,"CO=1.99535935222ppm ,NH3=0.0239894326229ppm ,NO2=0.232876649822ppm ,CO2=277.197610678ppmVOLT: CO=4.0478515625V ,NH3=1.8310546875V ,NO2=3.75V ,CO2=1.787109375V",add info,1649675256
16921930,152,2022-04-11 13:08:43,41.827754,12.674334,0,1.2,4.1,19.8,24.8,0.23,277.2,0.02,2.0,2022-04-11 15:08:44,2022-04-11 15:08:44,10.0,10.0,10.0,"CO=1.99535935222ppm ,NH3=0.0239894326229ppm ,NO2=0.232876649822ppm ,CO2=277.197610678ppmVOLT: CO=4.0478515625V ,NH3=1.8310546875V ,NO2=3.75V ,CO2=1.787109375V",add info,1649675323
16921943,152,2022-04-11 13:09:46,41.827754,12.674334,0,1.2,3.1,19.9,24.8,0.23,263.05,0.02,2.0,2022-04-11 15:09:47,2022-04-11 15:09:47,10.0,10.0,10.0,"CO=1.99535935222ppm ,NH3=0.0225796708154ppm ,NO2=0.232876649822ppm ,CO2=263.048937956ppmVOLT: CO=4.0478515625V ,NH3=1.8701171875V ,NO2=3.75V ,CO2=1.7919921875V",add info,1649675386
16921962,152,2022-04-11 13:10:52,41.827754,12.674334,0,1.4,4.5,18.3,24.8,0.23,292.11,0.02,1.98,2022-04-11 15:10:53,2022-04-11 15:10:53,10.0,10.0,10.0,"CO=1.98008046295ppm ,NH3=0.0212635357091ppm ,NO2=0.231687996871ppm ,CO2=292.10730126ppmVOLT: CO=4.052734375V ,NH3=1.9091796875V ,NO2=3.7451171875V ,CO2=1.7822265625V",add info,1649675452
16921983,152,2022-04-11 13:11:55,41.827754,12.674334,0,1.5,7.3,18.3,24.7,0.23,292.11,0.02,1.98,2022-04-11 15:11:57,2022-04-11 15:11:57,10.0,10.0,10.0,"CO=1.98008046295ppm ,NH3=0.0238078148394ppm ,NO2=0.230508459ppm ,CO2=292.10730126ppmVOLT: CO=4.052734375V ,NH3=1.8359375V ,NO2=3.740234375V ,CO2=1.7822265625V",add info,1649675515
16922004,152,2022-04-11 13:13:01,41.827754,12.674334,0,1.1,4.5,17.1,24.8,0.23,277.2,0.02,1.98,2022-04-11 15:13:02,2022-04-11 15:13:02,10.0,10.0,10.0,"CO=1.98008046295ppm ,NH3=0.0207925605953ppm ,NO2=0.231687996871ppm ,CO2=277.197610678ppmVOLT: CO=4.052734375V ,NH3=1.923828125V ,NO2=3.7451171875V ,CO2=1.787109375V",add info,1649675581
16922023,152,2022-04-11 13:14:05,41.827754,12.674334,0,1.3,3.7,18.7,24.8,0.23,263.05,0.02,1.98,2022-04-11 15:14:07,2022-04-11 15:14:07,10.0,10.0,10.0,"CO=1.98008046295ppm ,NH3=0.0207925605953ppm ,NO2=0.231687996871ppm ,CO2=263.048937956ppmVOLT: CO=4.052734375V ,NH3=1.923828125V ,NO2=3.7451171875V ,CO2=1.7919921875V",add info,1649675645
16922044,152,2022-04-11 13:15:09,41.827754,12.674334,0,1.4,4.0,17.0,24.8,0.23,307.82,0.02,1.98,2022-04-11 15:15:10,2022-04-11 15:15:10,10.0,10.0,10.0,"CO=1.98008046295ppm ,NH3=0.0206381932046ppm ,NO2=0.231687996871ppm ,CO2=307.818942741ppmVOLT: CO=4.052734375V ,NH3=1.9287109375V ,NO2=3.7451171875V ,CO2=1.77734375V",add info,1649675709
